Year	State	InCare	Adopted	TPR
2012	DE	799.00	91.00	148.00
2012	DC	1216.00	114.00	79.00
2012	FL	19536.00	3294.00	3177.00
2012	GA	7671.00	915.00	888.00
2012	HI	1079.00	187.00	196.00
2012	ID	1234.00	273.00	186.00
2012	IL	16772.00	1803.00	1689.00
2012	IN	11190.00	1713.00	1053.00
2012	IA	6262.00	1032.00	772.00
2012	KS	6002.00	764.00	1192.00
2012	KS	6979.00	784.00	1173.00
2012	LA	4044.00	655.00	674.00
2012	ME	1512.00	291.00	404.00
2012	MD	4884.00	455.00	164.00
2012	MA	8522.00	754.00	1329.00
2012	MI	14522.00	2559.00	3131.00
2012	MN	5330.00	520.00	1008.00
2012	MS	3699.00	425.00	388.00
2012	MO	9985.00	1228.00	854.00
2012	MT	1937.00	225.00	292.00
2012	NE	5116.00	417.00	555.00
2012	NV	4745.00	776.00	859.00
2012	NH	768.00	96.00	21.00
2012	NJ	6848.00	1023.00	736.00
2012	NM	1914.00	345.00	411.00
2012	NY	23924.00	2182.00	2925.00
2012	NC	8461.00	1329.00	1011.00
2012	ND	1109.00	155.00	116.00
2012	OH	11877.00	1250.00	2277.00
2012	OK	9120.00	1533.00	1585.00
2012	OR	8686.00	683.00	1385.00
2012	PA	14515.00	1881.00	1258.00
2012	RI	1707.00	191.00	129.00
2012	SC	3113.00	776.00	585.00
2012	SD	1399.00	126.00	313.00
2012	TN	7440.00	813.00	779.00
2012	TX	29613.00	5039.00	9001.00
2012	UT	2813.00	562.00	307.00
2012	VT	975.00	172.00	159.00
2012	VA	4579.00	639.00	1097.00
2012	WA	9606.00	1227.00	1324.00
2012	WV	4562.00	632.00	1039.00
2012	WI	6384.00	761.00	613.00
2012	WY	949.00	81.00	57.00
2012	Total	392104.00	51978.00	58372.00
2013	AL	4435.00	532.00	615.00
2013	AK	1982.00	328.00	399.00
2013	AZ	14399.00	2522.00	2692.00
2013	AR	3797.00	691.00	642.00
2013	CA	55383.00	5541.00	6562.00
2013	CO	5851.00	782.00	470.00
2013	CT	4263.00	497.00	608.00
2013	DE	702.00	112.00	113.00
2013	DC	1034.00	110.00	61.00
2013	FL	18040.00	3417.00	3193.00
2013	GA	7607.00	1031.00	813.00
2013	HI	1085.00	160.00	137.00
2013	ID	1342.00	206.00	215.00
2013	IL	16894.00	1356.00	1766.00
2013	IN	12382.00	961.00	970.00
2013	IA	6341.00	917.00	731.00
2013	KS	6441.00	674.00	1210.00
2013	KS	7162.00	797.00	1179.00
2013	LA	3955.00	731.00	554.00
2013	ME	1787.00	214.00	501.00
2013	MD	4467.00	355.00	145.00
2013	MA	8537.00	799.00	1126.00
2013	MI	14615.00	2374.00	2819.00
2013	MN	5641.00	583.00	1110.00
2013	MS	3779.00	352.00	353.00
2013	MO	10624.00	1233.00	862.00
2013	MT	2232.00	165.00	369.00
2013	NE	4561.00	586.00	407.00
2013	NV	4776.00	729.00	721.00
2013	NH	850.00	110.00	21.00
2013	NJ	6946.00	927.00	762.00
2013	NM	2077.00	310.00	518.00
2013	NY	22975.00	2184.00	2811.00
2013	NC	9036.00	1222.00	975.00
2013	ND	1227.00	104.00	135.00
2013	OH	12223.00	1244.00	2591.00
2013	OK	10535.00	1286.00	1754.00
2013	OR	8202.00	768.00	1308.00
2013	PA	14270.00	1892.00	1246.00
2013	RI	1789.00	162.00	113.00
2013	SC	3188.00	506.00	599.00
2013	SD	1253.00	177.00	281.00
2013	TN	7763.00	1160.00	892.00
2013	TX	29625.00	5443.00	8807.00
2013	UT	2709.00	587.00	421.00
2013	VT	971.00	179.00	171.00
2013	VA	4327.00	709.00	1052.00
2013	WA	10208.00	1328.00	1489.00
2013	WV	4389.00	877.00	1005.00
2013	WI	6539.00	800.00	592.00
2013	WY	981.00	86.00	26.00
2013	Total	396197.00	50816.00	58912.00
2014	AL	4526.00	544.00	573.00
2014	AK	2190.00	367.00	366.00
2014	AZ	16246.00	3090.00	2841.00
2014	AR	3806.00	743.00	757.00
2014	CA	56771.00	5471.00	6379.00
2014	CO	5787.00	769.00	499.00
2014	CT	3921.00	506.00	405.00
2014	DE	635.00	84.00	118.00
2014	DC	871.00	107.00	50.00
2014	FL	19712.00	3267.00	3643.00
2014	GA	9005.00	887.00	1171.00
2014	HI	1221.00	121.00	174.00
2014	ID	1208.00	218.00	212.00
2014	IL	17049.00	1616.00	1638.00
2014	IN	14452.00	850.00	1023.00
2014	IA	5978.00	878.00	792.00
2014	KS	6762.00	695.00	1217.00
2014	KS	7506.00	909.00	1243.00
2014	LA	4329.00	622.00	593.00
2014	ME	1864.00	295.00	510.00
2014	MD	4032.00	344.00	129.00
2014	MA	9937.00	589.00	1178.00
2014	MI	13512.00	2184.00	3058.00
2014	MN	6324.00	642.00	1126.00
2014	MS	4380.00	314.00	356.00
2014	MO	11834.00	1291.00	764.00
2014	MT	2345.00	234.00	447.00
2014	NE	3666.00	461.00	463.00
2014	NV	4543.00	729.00	691.00
2014	NH	890.00	120.00	40.00
2014	NJ	7138.00	1024.00	869.00
2014	NM	2366.00	315.00	523.00
2014	NY	22422.00	1997.00	2694.00
2014	NC	9859.00	1176.00	1123.00
2014	ND	1365.00	96.00	153.00
2014	OH	12519.00	1406.00	2644.00
2014	OK	11457.00	1382.00	2260.00
2014	OR	7395.00	847.00	1586.00
2014	PA	14838.00	1849.00	1210.00
2014	RI	1798.00	202.00	103.00
2014	SC	3461.00	449.00	564.00
2014	SD	1174.00	159.00	292.00
2014	TN	7342.00	1162.00	951.00
2014	TX	30358.00	5221.00	8825.00
2014	UT	2960.00	605.00	364.00
2014	VT	1123.00	164.00	198.00
2014	VA	4597.00	632.00	1101.00
2014	WA	10630.00	1362.00	1625.00
2014	WV	4556.00	852.00	1045.00
2014	WI	6918.00	735.00	586.00
2014	WY	985.00	75.00	13.00
2014	Total	410563.00	50657.00	61185.00
2015	AL	4745.00	512.00	461.00
2015	AK	2653.00	357.00	356.00
2015	AZ	17738.00	3236.00	3006.00
2015	AR	4548.00	740.00	757.00
2015	CA	55983.00	6079.00	6617.00
2015	CO	5644.00	820.00	531.00
2015	CT	3908.00	573.00	380.00
2015	DE	682.00	79.00	120.00
2015	DC	873.00	106.00	33.00
2015	FL	22364.00	3431.00	3805.00
2015	GA	10935.00	912.00	1056.00
2015	HI	1360.00	176.00	119.00
2015	ID	1351.00	223.00	216.00
2015	IL	16654.00	1788.00	1653.00
2015	IN	17023.00	1152.00	1226.00
2015	IA	5993.00	1017.00	734.00
2015	KS	7223.00	783.00	1286.00
2015	KS	7538.00	961.00	1439.00
2015	LA	4545.00	662.00	544.00
2015	ME	1873.00	328.00	567.00
2015	MD	3914.00	294.00	151.00
2015	MA	10278.00	623.00	1219.00
2015	MI	11977.00	1772.00	3119.00
2015	MN	7610.00	735.00	1225.00
2015	MS	4773.00	312.00	412.00
2015	MO	12160.00	1357.00	698.00
2015	MT	2807.00	310.00	385.00
2015	NE	3725.00	533.00	455.00
2015	NV	4489.00	799.00	695.00
2015	NH	1032.00	118.00	76.00
2015	NJ	6874.00	1072.00	959.00
2015	NM	2471.00	295.00	507.00
2015	NY	19154.00	1933.00	2605.00
2015	NC	10324.00	1311.00	1210.00
2015	ND	1359.00	133.00	172.00
2015	OH	13205.00	1334.00	2643.00
2015	OK	11163.00	2159.00	2255.00
2015	OR	7388.00	835.00	1394.00
2015	PA	16081.00	1832.00	1403.00
2015	RI	1838.00	211.00	114.00
2015	SC	3726.00	403.00	540.00
2015	SD	1280.00	121.00	256.00
2015	TN	7599.00	1112.00	1056.00
2015	TX	29990.00	5457.00	8879.00
2015	UT	2704.00	695.00	295.00
2015	VT	1332.00	189.00	193.00
2015	VA	4735.00	562.00	1125.00
2015	WA	10665.00	1484.00	1567.00
2015	WV	4959.00	893.00	1031.00
2015	WI	7091.00	643.00	665.00
2015	WY	1082.00	74.00	20.00
2015	Total	421418.00	53536.00	62230.00
2016	AL	5053.00	503.00	421.00
2016	AK	2824.00	312.00	425.00
2016	AZ	17118.00	3654.00	3379.00
2016	AR	4880.00	758.00	795.00
2016	CA	54685.00	6542.00	6712.00
2016	CO	5733.00	839.00	568.00
2016	CT	4119.00	529.00	380.00
2016	DE	780.00	99.00	115.00
2016	DC	826.00	110.00	7.00
2016	FL	23810.00	3573.00	4270.00
2016	GA	12381.00	1121.00	1001.00
2016	HI	1605.00	129.00	150.00
2016	ID	1518.00	185.00	273.00
2016	IL	16113.00	1546.00	2522.00
2016	IN	19837.00	1536.00	1197.00
2016	IA	5565.00	992.00	837.00
2016	KS	7302.00	870.00	1481.00
2016	KS	7739.00	1104.00	1457.00
2016	LA	4461.00	727.00	577.00
2016	ME	1837.00	399.00	556.00
2016	MD	3841.00	361.00	162.00
2016	MA	10910.00	669.00	1251.00
2016	MI	11599.00	2078.00	3083.00
2016	MN	8793.00	899.00	1457.00
2016	MS	5486.00	400.00	445.00
2016	MO	12408.00	1591.00	764.00
2016	MT	3366.00	260.00	439.00
2016	NE	4012.00	483.00	463.00
2016	NV	4266.00	796.00	692.00
2016	NH	1206.00	87.00	78.00
2016	NJ	6527.00	1185.00	990.00
2016	NM	2610.00	306.00	531.00
2016	NY	17591.00	1949.00	2386.00
2016	NC	10561.00	1501.00	1284.00
2016	ND	1407.00	132.00	242.00
2016	OH	13725.00	1449.00	2730.00
2016	OK	10062.00	2487.00	2399.00
2016	OR	7631.00	768.00	1236.00
2016	PA	16086.00	1917.00	1612.00
2016	RI	1654.00	279.00	110.00
2016	SC	3968.00	433.00	558.00
2016	SD	1416.00	110.00	284.00
2016	TN	7694.00	1225.00	1112.00
2016	TX	30738.00	5723.00	8330.00
2016	UT	2838.00	632.00	304.00
2016	VT	1323.00	216.00	244.00
2016	VA	4890.00	627.00	1322.00
2016	WA	10959.00	1387.00	1575.00
2016	WV	5973.00	940.00	1455.00
2016	WI	7382.00	669.00	764.00
2016	WY	993.00	89.00	22.00
2016	Total	430101.00	57176.00	65447.00
2017	AL	5631.00	504.00	533.00
2017	AK	2739.00	366.00	432.00
2017	AZ	15031.00	4298.00	3295.00
2017	AR	4776.00	971.00	795.00
2017	CA	51869.00	6524.00	7107.00
2017	CO	5704.00	948.00	514.00
2017	CT	4135.00	488.00	363.00
2017	DE	787.00	108.00	130.00
2017	DC	751.00	91.00	6.00
2017	FL	24641.00	3831.00	4819.00
2017	GA	13146.00	1401.00	1876.00
2017	HI	1607.00	152.00	236.00
2017	ID	1593.00	258.00	269.00
2017	IL	15930.00	1777.00	2469.00
2017	IN	20904.00	1964.00	1276.00
2017	IA	5952.00	1006.00	863.00
2017	KS	7753.00	674.00	1667.00
2017	KS	8146.00	1128.00	1665.00
2017	LA	4460.00	766.00	678.00
2017	ME	1584.00	456.00	502.00
2017	MD	3923.00	348.00	159.00
2017	MA	10916.00	657.00	1427.00
2017	MI	11918.00	1970.00	3220.00
2017	MN	9651.00	946.00	1848.00
2017	MS	5440.00	364.00	154.00
2017	MO	12390.00	1541.00	840.00
2017	MT	3853.00	274.00	556.00
2017	NE	4195.00	546.00	451.00
2017	NV	4408.00	740.00	756.00
2017	NH	1474.00	108.00	109.00
2017	NJ	5946.00	1106.00	963.00
2017	NM	2657.00	311.00	812.00
2017	NY	17345.00	1762.00	2243.00
2017	NC	10756.00	1528.00	1434.00
2017	ND	1495.00	162.00	284.00
2017	OH	14961.00	1538.00	2936.00
2017	OK	9315.00	2593.00	2091.00
2017	OR	7972.00	707.00	1197.00
2017	PA	16891.00	2077.00	2068.00
2017	RI	1846.00	250.00	108.00
2017	SC	4041.00	487.00	527.00
2017	SD	1603.00	181.00	313.00
2017	TN	8558.00	1260.00	1067.00
2017	TX	32150.00	5361.00	8549.00
2017	UT	2954.00	665.00	386.00
2017	VT	1270.00	287.00	240.00
2017	VA	4795.00	801.00	1307.00
2017	WA	11355.00	1345.00	1730.00
2017	WV	6633.00	1069.00	1711.00
2017	WI	7721.00	692.00	726.00
2017	WY	1085.00	82.00	17.00
2017	Total	436656.00	59469.00	69724.00
2018	AL	5930.00	712.00	514.00
2018	AK	2781.00	353.00	430.00
2018	AZ	13360.00	3926.00	2966.00
2018	AR	4234.00	1001.00	809.00
2018	CA	52337.00	6966.00	7098.00
2018	CO	5542.00	910.00	499.00
2018	CT	4225.00	497.00	381.00
2018	DE	719.00	116.00	121.00
2018	DC	707.00	100.00	10.00
2018	FL	24404.00	4455.00	5727.00
2018	GA	13793.00	1469.00	1900.00
2018	HI	1687.00	189.00	276.00
2018	ID	1814.00	245.00	345.00
2018	IL	16840.00	1754.00	2292.00
2018	IN	18560.00	2016.00	1573.00
2018	IA	6249.00	1074.00	924.00
2018	KS	8068.00	936.00	1811.00
2018	KS	9355.00	1124.00	1594.00
2018	LA	4562.00	905.00	669.00
2018	ME	1768.00	395.00	428.00
2018	MD	3973.00	353.00	147.00
2018	MA	10607.00	826.00	1671.00
2018	MI	12121.00	1991.00	3389.00
2018	MN	9271.00	1284.00	1852.00
2018	MS	4703.00	431.00	103.00
2018	MO	12659.00	1798.00	864.00
2018	MT	3946.00	396.00	687.00
2018	NE	3524.00	564.00	497.00
2018	NV	4532.00	760.00	779.00
2018	NH	1312.00	211.00	180.00
2018	NJ	5526.00	1054.00	998.00
2018	NM	2508.00	297.00	597.00
2018	NY	16591.00	1697.00	2134.00
2018	NC	10543.00	1522.00	1255.00
2018	ND	1576.00	172.00	332.00
2018	OH	15730.00	1566.00	3117.00
2018	OK	8642.00	2238.00	1937.00
2018	OR	7577.00	679.00	1256.00
2018	PA	16566.00	2628.00	2256.00
2018	RI	2003.00	254.00	102.00
2018	SC	4456.00	435.00	594.00
2018	SD	1560.00	183.00	345.00
2018	TN	8929.00	1248.00	999.00
2018	TX	32960.00	5748.00	8888.00
2018	UT	2611.00	818.00	387.00
2018	VT	1308.00	262.00	233.00
2018	VA	4915.00	879.00	1091.00
2018	WA	11399.00	1331.00	1966.00
2018	WV	7138.00	1399.00	1752.00
2018	WI	7819.00	755.00	663.00
2018	WY	1091.00	75.00	42.00
2018	Total	435031.00	62997.00	71480.00
2019	AL	5783.00	738.00	523.00
2019	AK	2879.00	396.00	375.00
2019	AZ	13330.00	3373.00	2687.00
2019	AR	4127.00	984.00	787.00
2019	CA	51268.00	6981.00	7262.00
2019	CO	5340.00	919.00	516.00
2019	CT	4333.00	633.00	352.00
2019	DE	576.00	129.00	95.00
2019	DC	672.00	98.00	5.00
2019	FL	24563.00	4714.00	5850.00
2019	GA	12867.00	1668.00	2028.00
2019	HI	1706.00	206.00	267.00
2019	ID	1752.00	328.00	338.00
2019	IL	18317.00	1747.00	2215.00
2019	IN	16307.00	2489.00	1606.00
2019	IA	5955.00	1228.00	1012.00
2019	KS	8066.00	1227.00	1695.00
2019	KS	9148.00	1368.00	1943.00
2019	LA	3919.00	895.00	639.00
2019	ME	2096.00	294.00	412.00
2019	MD	3840.00	291.00	142.00
2019	MA	9871.00	998.00	1722.00
2019	MI	11671.00	2161.00	3374.00
2019	MN	8400.00	1347.00	1812.00
2019	MS	4161.00	719.00	519.00
2019	MO	12685.00	1820.00	895.00
2019	MT	3697.00	482.00	672.00
2019	NE	3506.00	560.00	453.00
2019	NV	4541.00	805.00	885.00
2019	NH	1225.00	278.00	125.00
2019	NJ	4430.00	1162.00	792.00
2019	NM	2326.00	336.00	621.00
2019	NY	16086.00	1648.00	1756.00
2019	NC	11223.00	1546.00	1211.00
2019	ND	1502.00	197.00	333.00
2019	OH	16387.00	1665.00	3290.00
2019	OK	8306.00	2086.00	1830.00
2019	OR	6994.00	792.00	1258.00
2019	PA	15526.00	2849.00	1958.00
2019	RI	2200.00	184.00	107.00
2019	SC	4521.00	529.00	765.00
2019	SD	1706.00	211.00	358.00
2019	TN	9290.00	1166.00	1014.00
2019	TX	31427.00	6105.00	8578.00
2019	UT	2488.00	639.00	361.00
2019	VT	1245.00	260.00	237.00
2019	VA	4925.00	769.00	1236.00
2019	WA	10909.00	1509.00	1774.00
2019	WV	7269.00	1675.00	1928.00
2019	WI	7642.00	711.00	694.00
2019	WY	994.00	120.00	28.00
2019	Total	423997.00	66035.00	71335.00
